transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,revenue,country,channel
T000058,C0003,P018,2024-06-03,8,7.35,58.79,United Kingdom,In-Store
T000059,C0003,P001,2024-06-27,9,4.66,41.91,United Kingdom,Mobile
T000060,C0003,P017,2024-07-07,6,31.74,190.46,United Kingdom,In-Store
T000061,C0003,P003,2024-10-12,3,8.6,25.79,United Kingdom,Partner
T000062,C0003,P012,2024-06-25,10,9.43,94.27,United Kingdom,Mobile
T000063,C0003,P013,2024-11-17,4,20.17,80.69,United Kingdom,Mobile
T000064,C0003,P008,2024-12-23,7,21.47,150.32,United Kingdom,Partner
T000065,C0003,P011,2024-07-22,8,15.92,127.4,United Kingdom,Mobile
T000066,C0003,P019,2024-09-28,4,15.44,61.76,United Kingdom,In-Store
T000067,C0003,P014,2024-07-24,4,5.52,22.08,United Kingdom,Partner
T000068,C0003,P010,2024-07-11,10,5.85,58.49,United Kingdom,In-Store
T000069,C0003,P020,2024-07-08,3,13.12,39.35,United Kingdom,Online
T000070,C0004,P012,2024-08-06,9,9.01,81.11,Australia,Mobile
T000071,C0004,P001,2024-10-19,9,4.66,41.94,Australia,Mobile
T000072,C0004,P004,2024-07-02,10,6.48,64.81,Australia,Online
T000073,C0004,P002,2024-09-04,6,18.29,109.73,Australia,Online
T000074,C0004,P019,2024-06-17,7,16.66,116.6,Australia,Mobile
T000075,C0004,P015,2024-12-25,5,23.97,119.85,Australia,In-Store
T000076,C0004,P004,2024-10-25,3,7.05,21.15,Australia,Partner
T000077,C0004,P013,2024-07-15,10,19.05,190.49,Australia,In-Store
T000078,C0004,P007,2024-07-09,5,13.68,68.42,Australia,Online
T000079,C0004,P020,2024-10-19,6,13.7,82.19,Australia,Partner
T000080,C0004,P002,2024-07-22,4,18.57,74.29,Australia,Mobile
T000081,C0004,P018,2024-08-31,3,7.6,22.81,Australia,Partner
T000082,C0004,P018,2024-08-22,10,7.14,71.37,Australia,Partner
T000083,C0004,P009,2024-06-08,5,7.14,35.72,Australia,In-Store
T000084,C0004,P002,2024-07-30,10,19.05,190.46,Australia,Mobile
T000085,C0004,P004,2024-12-26,6,6.86,41.14,Australia,Online
T000086,C0004,P008,2024-07-15,9,21.68,195.13,Australia,Mobile
T000087,C0004,P008,2024-10-30,8,22.67,181.39,Australia,Online
T000088,C0004,P012,2024-12-25,5,9.06,45.28,Australia,Partner
T000089,C0004,P018,2024-06-15,7,7.01,49.1,Australia,Mobile
T000090,C0004,P020,2024-08-24,6,12.85,77.11,Australia,Mobile
T000091,C0004,P005,2024-08-22,8,10.21,81.65,Australia,Online
T000092,C0005,P005,2024-09-02,5,10.26,51.32,Spain,Online
T000093,C0005,P012,2024-08-22,9,9.08,81.7,Spain,Mobile
T000094,C0005,P006,2024-11-14,9,12.86,115.78,Spain,In-Store
T000095,C0005,P006,2024-07-15,8,12.15,97.23,Spain,Partner
T000096,C0005,P010,2024-11-27,7,5.77,40.37,Spain,Partner
T000097,C0005,P019,2024-12-25,3,15.48,46.44,Spain,Mobile
T000098,C0005,P019,2024-12-08,4,16.69,66.75,Spain,Online
T000099,C0005,P008,2024-06-23,8,23.06,184.49,Spain,In-Store
T000100,C0005,P015,2024-06-18,3,24.4,73.21,Spain,In-Store
T000101,C0005,P009,2024-09-21,4,7.67,30.66,Spain,Partner
T000102,C0005,P006,2024-10-18,9,12.49,112.42,Spain,Partner
T000103,C0005,P004,2024-12-12,10,6.94,69.45,Spain,Mobile
T000104,C0005,P006,2024-08-15,10,11.97,119.67,Spain,Online
T000105,C0005,P011,2024-07-14,7,16.72,117.06,Spain,Partner
T000106,C0005,P006,2024-06-24,4,12.56,50.24,Spain,In-Store
T000107,C0006,P001,2024-09-20,9,4.7,42.29,France,Mobile
T000108,C0006,P002,2024-09-13,4,18.67,74.68,France,In-Store
T000109,C0006,P010,2024-10-25,7,5.83,40.83,France,Partner
T000110,C0006,P005,2024-08-15,3,9.85,29.55,France,Partner
T000111,C0006,P007,2024-08-14,4,13.34,53.34,France,Online
T000112,C0006,P016,2024-10-04,4,10.79,43.16,France,In-Store
T000113,C0006,P003,2024-09-03,9,7.99,71.91,France,Mobile
T000114,C0006,P015,2024-07-28,3,24.4,73.2,France,In-Store
T000115,C0006,P019,2024-06-25,3,15.43,46.3,France,Online
T000116,C0006,P012,2024-10-20,9,9.42,84.81,France,Online
T000117,C0006,P013,2024-09-30,9,20.92,188.29,France,Mobile
T000118,C0006,P016,2024-11-30,7,10.54,73.76,France,Online
T000119,C0006,P017,2024-07-15,5,30.78,153.92,France,Mobile
T000120,C0006,P007,2024-11-22,6,13.48,80.86,France,Partner
T000121,C0006,P007,2024-12-04,5,14.47,72.34,France,Online
T000122,C0006,P003,2024-08-10,9,8.3,74.67,France,Partner
T000123,C0006,P001,2024-10-24,9,4.33,38.93,France,Online
T000124,C0006,P004,2024-08-28,4,6.94,27.77,France,Partner
T000125,C0006,P009,2024-09-30,9,7.62,68.54,France,Online
T000126,C0006,P006,2024-11-22,7,12.38,86.65,France,Partner
T000127,C0006,P002,2024-07-31,9,19.73,177.57,France,Online
T000128,C0006,P016,2024-12-27,7,11.44,80.06,France,In-Store
T000129,C0006,P010,2024-11-23,7,6.2,43.37,France,Online
T000130,C0006,P008,2024-12-16,5,21.56,107.81,France,In-Store
T000131,C0006,P009,2024-09-22,9,7.58,68.21,France,Mobile
T000132,C0006,P014,2024-12-28,10,5.64,56.43,France,Online
T000133,C0006,P017,2024-09-12,5,30.61,153.05,France,Mobile
T000134,C0006,P017,2024-07-22,3,30.96,92.87,France,Online
T000135,C0006,P008,2024-11-28,3,21.9,65.71,France,Mobile
T000136,C0006,P009,2024-11-10,8,7.74,61.94,France,Online
T000137,C0007,P008,2024-09-30,8,21.98,175.8,France,In-Store
T000138,C0007,P012,2024-12-30,5,9.3,46.52,France,Online
T000139,C0007,P010,2024-10-25,3,5.92,17.77,France,Mobile
T000140,C0007,P008,2024-09-13,6,22.39,134.35,France,Online
T000141,C0007,P001,2024-11-01,10,4.69,46.85,France,Online
T000142,C0007,P008,2024-11-30,7,22.24,155.67,France,In-Store
T000143,C0007,P014,2024-07-26,9,5.69,51.24,France,Partner
T000144,C0007,P010,2024-11-17,-9,6.04,-54.37,France,In-Store
T000145,C0007,P018,2024-06-17,7,7.1,49.73,France,In-Store
T000146,C0007,P009,2024-11-30,8,7.77,62.17,France,In-Store
T000147,C0007,P007,2024-06-15,5,14.02,70.12,France,Partner
T000148,C0007,P011,2024-08-15,5,16.35,81.77,France,In-Store
T000149,C0007,P014,2024-11-29,9,5.44,48.95,France,Mobile
T000150,C0007,P011,2024-09-30,6,16.3,97.79,France,In-Store
T000151,C0007,P017,2024-10-21,7,33.11,231.74,France,Mobile
T000152,C0008,P004,2024-12-24,10,6.5,64.99,Switzerland,Mobile
T000153,C0008,P011,2024-08-18,4,15.56,62.22,Switzerland,Partner
T000154,C0008,P011,2024-07-01,8,15.62,124.94,Switzerland,Partner
T000155,C0008,P002,2024-07-01,4,18.94,75.75,Switzerland,Partner
T000156,C0008,P017,2024-07-09,7,31.72,222.05,Switzerland,Mobile
T000157,C0008,P007,2024-09-26,8,13.87,110.98,Switzerland,Mobile
T000158,C0008,P011,2024-11-09,5,16.45,82.23,Switzerland,Mobile
T000159,C0008,P011,2024-12-12,3,15.21,45.62,Switzerland,Mobile
T000160,C0008,P019,2024-06-23,5,15.97,79.87,Switzerland,Mobile
T000161,C0008,P020,2024-10-01,9,13.68,123.12,Switzerland,Partner
T000162,C0008,P001,2024-06-04,3,4.52,13.55,Switzerland,In-Store
T000163,C0008,P017,2024-12-05,-6,30.46,-182.74,Switzerland,Mobile
T000164,C0008,P008,2024-10-07,8,21.59,172.69,Switzerland,In-Store
T000165,C0008,P006,2024-08-14,4,12.9,51.62,Switzerland,Partner
T000166,C0008,P017,2024-07-05,8,31.79,254.3,Switzerland,In-Store
T000167,C0008,P016,2024-12-25,8,11.28,90.2,Switzerland,Partner
T000168,C0008,P001,2024-07-25,6,4.38,26.26,Switzerland,Online
T000169,C0008,P019,2024-12-20,5,15.39,76.94,Switzerland,Online
T000170,C0008,P013,2024-10-31,7,20.53,143.73,Switzerland,Online
T000171,C0008,P004,2024-09-22,3,6.45,19.34,Switzerland,Partner
T000172,C0008,P004,2024-11-25,7,6.73,47.13,Switzerland,Online
T000173,C0008,P010,2024-08-09,9,6.09,54.78,Switzerland,Mobile
T000174,C0008,P014,2024-08-12,4,5.51,22.03,Switzerland,Online
T000175,C0008,P004,2024-08-07,10,6.55,65.47,Switzerland,Mobile
T000176,C0009,P014,2024-07-24,7,5.31,37.19,United Kingdom,Partner
T000177,C0009,P011,2024-06-29,6,15.2,91.23,United Kingdom,Partner
T000178,C0009,P005,2024-12-03,4,10.27,41.08,United Kingdom,Online
T000179,C0009,P009,2024-08-07,6,7.47,44.81,United Kingdom,Partner
T000180,C0009,P002,2024-08-14,4,19.58,78.34,United Kingdom,In-Store
T000181,C0009,P011,2024-12-12,9,16.38,147.43,United Kingdom,Online
T000182,C0009,P001,2024-08-31,5,4.57,22.87,United Kingdom,Partner
T000183,C0009,P020,2024-12-26,7,14.01,98.08,United Kingdom,In-Store
T000184,C0009,P006,2024-08-09,4,12.38,49.5,United Kingdom,Partner
T000185,C0009,P016,2024-06-29,9,11.16,100.47,United Kingdom,Mobile
T000186,C0009,P002,2024-10-02,5,18.24,91.19,United Kingdom,Partner
T000187,C0009,P006,2024-11-23,9,12.85,115.64,United Kingdom,Mobile
T000188,C0009,P016,2024-06-12,10,10.57,105.74,United Kingdom,Online
T000189,C0009,P009,2024-10-13,8,7.13,57.07,United Kingdom,Mobile
T000190,C0009,P011,2024-10-02,4,15.89,63.57,United Kingdom,In-Store
T000191,C0009,P013,2024-11-04,5,20.67,103.34,United Kingdom,Online
T000192,C0009,P001,2024-10-05,5,4.5,22.51,United Kingdom,Mobile
T000193,C0009,P003,2024-08-11,10,8.1,81.02,United Kingdom,Online
T000194,C0009,P017,2024-12-27,6,32.16,192.97,United Kingdom,Mobile
T000195,C0009,P003,2024-06-23,10,8.2,82.04,United Kingdom,Partner
T000196,C0009,P015,2024-11-15,8,24.04,192.3,United Kingdom,Online
T000197,C0009,P004,2024-06-01,9,6.69,60.22,United Kingdom,Online
T000198,C0009,P020,2024-11-15,7,14.03,98.19,United Kingdom,Partner
T000199,C0009,P011,2024-09-25,8,16.52,132.16,United Kingdom,In-Store
T000200,C0009,P018,2024-09-24,10,7.41,74.07,United Kingdom,Online
T000201,C0009,P004,2024-11-10,6,6.41,38.48,United Kingdom,In-Store
T000202,C0010,P004,2024-12-28,3,7.02,21.05,Germany,Partner
T000203,C0010,P004,2024-09-09,7,6.82,47.77,Germany,Mobile
T000204,C0010,P015,2024-09-15,6,25.53,153.19,Germany,Online
T000205,C0010,P019,2024-11-16,4,16.43,65.7,Germany,Mobile
T000206,C0010,P016,2024-09-19,3,11.03,33.1,Germany,Partner
T000207,C0010,P017,2024-12-26,5,32.61,163.07,Germany,Mobile
T000208,C0010,P004,2024-08-22,9,6.86,61.71,Germany,Partner
T000209,C0010,P014,2024-08-15,6,5.38,32.25,Germany,Partner
T000210,C0010,P005,2024-12-09,5,9.9,49.51,Germany,In-Store
T000211,C0010,P018,2024-11-09,8,7.4,59.23,Germany,Mobile
T000212,C0010,P007,2024-08-28,6,14.17,85.04,Germany,Mobile
T000213,C0010,P006,2024-10-22,8,12.76,102.1,Germany,Partner
T000214,C0010,P019,2024-10-15,9,16.27,146.42,Germany,In-Store
T000215,C0010,P014,2024-07-08,3,5.51,16.54,Germany,Online
T000216,C0010,P002,2024-08-13,6,18.55,111.28,Germany,In-Store
T000217,C0010,P005,2024-12-10,3,10.18,30.54,Germany,Online
T000218,C0010,P012,2024-12-07,10,8.64,86.42,Germany,Mobile
T000219,C0010,P018,2024-12-22,9,7.06,63.54,Germany,In-Store
T000220,C0010,P002,2024-11-23,9,18.78,168.99,Germany,In-Store
T000221,C0010,P018,2024-11-06,3,6.9,20.69,Germany,Partner
T000222,C0010,P008,2024-11-02,8,22.56,180.49,Germany,Mobile
T000223,C0010,P007,2024-06-20,7,13.93,97.5,Germany,Mobile
T000224,C0010,P006,2024-10-21,4,12.35,49.39,Germany,In-Store
T000225,C0010,P005,2024-08-24,5,10.07,50.37,Germany,Partner
T000226,C0010,P005,2024-06-14,3,9.64,28.93,Germany,In-Store
T000227,C0010,P016,2024-10-13,8,10.53,84.24,Germany,Mobile
T000228,C0011,P017,2024-10-18,4,32.92,131.66,Germany,Partner
T000229,C0011,P003,2024-08-24,8,8.02,64.16,Germany,In-Store
T000230,C0011,P012,2024-10-14,7,8.75,61.23,Germany,Partner
T000231,C0011,P018,2024-08-01,3,6.97,20.91,Germany,Mobile
T000232,C0011,P002,2024-06-30,8,18.76,150.12,Germany,Partner
T000233,C0011,P009,2024-12-15,7,7.14,50.0,Germany,In-Store
T000234,C0011,P017,2024-11-14,10,31.96,319.58,Germany,Mobile
T000235,C0011,P011,2024-12-15,4,16.72,66.87,Germany,Online
T000236,C0011,P003,2024-11-23,6,8.39,50.34,Germany,Partner
T000237,C0011,P004,2024-12-07,6,6.78,40.65,Germany,Partner
T000238,C0011,P003,2024-06-10,5,7.86,39.29,Germany,Online
T000239,C0011,P003,2024-06-19,3,7.98,23.95,Germany,Mobile
T000240,C0011,P009,2024-09-19,9,7.42,66.74,Germany,In-Store
T000241,C0011,P001,2024-11-12,9,4.58,41.2,Germany,Online
T000242,C0011,P019,2024-10-07,3,16.31,48.93,Germany,Online
T000243,C0011,P010,2024-09-21,7,6.05,42.38,Germany,Partner
T000244,C0011,P013,2024-07-05,3,19.94,59.81,Germany,Partner
T000245,C0011,P018,2024-11-21,7,7.58,53.09,Germany,In-Store
T000246,C0011,P001,2024-10-31,-5,4.33,-21.65,Germany,Partner
T000247,C0011,P018,2024-12-03,4,7.11,28.43,Germany,In-Store
T000248,C0012,P014,2024-12-31,5,5.31,26.57,Germany,In-Store
T000249,C0012,P007,2024-06-14,4,13.55,54.22,Germany,Partner
T000250,C0012,P018,2024-06-26,4,7.1,28.39,Germany,Mobile
T000251,C0012,P019,2024-11-19,10,16.71,167.12,Germany,Mobile
T000252,C0012,P004,2024-08-21,7,6.83,47.81,Germany,Partner
T000253,C0012,P015,2024-10-28,8,25.28,202.25,Germany,Mobile
T000254,C0012,P019,2024-07-14,8,16.48,131.86,Germany,Online
T000255,C0012,P011,2024-11-12,6,16.46,98.74,Germany,Partner
T000256,C0012,P009,2024-10-01,8,7.23,57.81,Germany,Partner
T000257,C0012,P015,2024-06-28,8,25.68,205.41,Germany,Mobile
T000258,C0012,P020,2024-07-06,4,13.96,55.85,Germany,Mobile
T000259,C0012,P009,2024-10-08,4,7.67,30.68,Germany,Online
T000260,C0012,P019,2024-06-10,9,16.42,147.78,Germany,In-Store
T000261,C0012,P018,2024-09-09,10,7.36,73.62,Germany,Mobile
T000262,C0012,P019,2024-06-24,7,15.4,107.83,Germany,Partner
T000263,C0012,P012,2024-12-24,3,9.15,27.44,Germany,Mobile
T000264,C0012,P017,2024-10-23,5,31.83,159.14,Germany,Mobile
T000265,C0012,P016,2024-07-30,8,10.49,83.96,Germany,Online
T000266,C0012,P009,2024-10-11,8,7.3,58.4,Germany,In-Store
T000267,C0012,P013,2024-06-11,10,20.83,208.25,Germany,In-Store
T000268,C0012,P004,2024-10-18,7,6.98,48.83,Germany,Mobile
T000269,C0013,P013,2024-06-20,8,20.17,161.32,Portugal,In-Store
T000270,C0013,P013,2024-08-28,6,20.02,120.14,Portugal,Partner
T000271,C0013,P016,2024-07-13,3,11.0,33.01,Portugal,Mobile
T000272,C0013,P003,2024-09-01,7,8.01,56.08,Portugal,Online
T000273,C0013,P008,2024-10-02,9,22.68,204.16,Portugal,Partner
T000274,C0013,P016,2024-09-14,6,11.1,66.6,Portugal,Online
T000275,C0013,P008,2024-07-05,3,21.18,63.54,Portugal,Online
T000276,C0013,P019,2024-07-17,5,15.28,76.4,Portugal,Partner
T000277,C0013,P020,2024-12-28,3,14.01,42.03,Portugal,In-Store
T000278,C0013,P003,2024-10-02,6,8.21,49.25,Portugal,Mobile
T000279,C0013,P008,2024-12-28,9,22.22,200.0,Portugal,Mobile
T000280,C0013,P020,2024-09-25,7,13.05,91.36,Portugal,Online
T000281,C0013,P008,2024-07-22,9,21.75,195.73,Portugal,Partner
T000282,C0013,P005,2024-11-01,4,9.67,38.67,Portugal,Online
T000283,C0013,P018,2024-11-02,4,6.96,27.82,Portugal,Online
T000284,C0013,P014,2024-10-14,9,5.43,48.86,Portugal,Partner
T000285,C0013,P008,2024-10-29,10,22.64,226.37,Portugal,Online
T000286,C0013,P014,2024-06-22,5,5.36,26.82,Portugal,In-Store
T000287,C0013,P020,2024-12-08,-9,13.17,-118.56,Portugal,Online
T000288,C0013,P019,2024-07-23,4,16.02,64.09,Portugal,In-Store
T000289,C0013,P014,2024-10-28,8,5.28,42.27,Portugal,In-Store
T000290,C0013,P009,2024-11-22,9,7.55,67.94,Portugal,Partner
T000291,C0013,P007,2024-07-16,9,14.07,126.66,Portugal,In-Store
T000292,C0013,P018,2024-08-28,10,7.07,70.71,Portugal,Partner
T000293,C0013,P005,2024-11-27,4,10.24,40.95,Portugal,Mobile
T000294,C0013,P004,2024-12-23,6,6.76,40.53,Portugal,Online
T000295,C0013,P006,2024-06-24,-9,13.08,-117.73,Portugal,Mobile
T000296,C0014,P020,2024-09-03,9,12.94,116.5,Belgium,Online
T000297,C0014,P020,2024-09-11,3,13.8,41.41,Belgium,In-Store
T000298,C0014,P020,2024-11-11,3,14.1,42.31,Belgium,Partner
T000299,C0014,P015,2024-12-23,3,24.24,72.73,Belgium,In-Store
T000300,C0014,P007,2024-11-26,3,14.4,43.19,Belgium,Mobile
T000301,C0014,P020,2024-11-15,5,13.73,68.67,Belgium,Online
T000302,C0014,P006,2024-08-30,4,13.12,52.48,Belgium,Partner
T000303,C0014,P013,2024-06-18,6,20.03,120.15,Belgium,Online
T000304,C0014,P018,2024-10-28,7,7.41,51.9,Belgium,In-Store
T000305,C0014,P012,2024-09-25,7,8.75,61.28,Belgium,Partner
T000306,C0014,P019,2024-06-28,3,15.61,46.82,Belgium,Online
T000307,C0014,P017,2024-10-10,7,31.49,220.42,Belgium,In-Store
T000308,C0014,P018,2024-10-23,7,7.39,51.74,Belgium,Partner
T000309,C0014,P008,2024-09-26,8,23.01,184.12,Belgium,Online
T000310,C0014,P016,2024-12-19,4,10.73,42.93,Belgium,Mobile
T000311,C0014,P008,2024-10-16,8,21.81,174.46,Belgium,Online
T000312,C0014,P009,2024-12-09,6,7.34,44.04,Belgium,In-Store
T000313,C0014,P003,2024-10-25,5,8.23,41.15,Belgium,In-Store
T000314,C0014,P006,2024-12-06,6,12.5,74.99,Belgium,Mobile
T000315,C0014,P009,2024-11-06,6,7.3,43.78,Belgium,In-Store
T000316,C0014,P005,2024-11-17,4,9.61,38.44,Belgium,Partner
T000317,C0014,P020,2024-06-11,3,13.86,41.57,Belgium,Partner
T000318,C0014,P012,2024-10-26,8,8.99,71.94,Belgium,In-Store
T000319,C0014,P016,2024-08-11,5,11.53,57.66,Belgium,Partner
T000320,C0014,P008,2024-10-01,5,21.02,105.1,Belgium,Online
T000321,C0014,P017,2024-07-15,8,31.66,253.28,Belgium,Partner
T000322,C0014,P004,2024-11-20,-10,6.63,-66.26,Belgium,Mobile
T000323,C0014,P013,2024-08-06,4,19.64,78.56,Belgium,Mobile
T000324,C0014,P018,2024-11-04,7,7.06,49.42,Belgium,In-Store
T000325,C0014,P012,2024-11-27,5,9.0,44.99,Belgium,In-Store
T000326,C0015,P013,2024-10-21,4,19.89,79.57,USA,Mobile
T000327,C0015,P004,2024-07-14,4,6.96,27.82,USA,Mobile
T000328,C0015,P005,2024-08-03,-3,9.96,-29.89,USA,Partner
T000329,C0015,P005,2024-09-06,6,10.02,60.14,USA,In-Store
T000330,C0015,P009,2024-02-20,6,7.77,46.61,USA,Mobile
T000331,C0015,P002,2024-11-18,3,19.59,58.76,USA,Online
T000332,C0015,P015,2024-10-12,4,24.39,97.56,USA,In-Store
T000333,C0015,P012,2024-12-13,2,8.92,17.84,USA,Mobile
T000334,C0015,P019,2024-05-25,6,16.23,97.38,USA,In-Store
T000335,C0015,P011,2024-02-10,6,15.98,95.88,USA,Partner
T000336,C0015,P020,2024-03-26,4,13.45,53.8,USA,In-Store
T000337,C0015,P014,2024-02-06,6,5.54,33.24,USA,Online
T000338,C0015,P006,2024-05-29,4,12.16,48.64,USA,In-Store
T000339,C0016,P009,2024-10-27,5,7.71,38.55,Portugal,Partner
T000340,C0016,P014,2024-04-30,3,5.33,15.98,Portugal,In-Store
T000341,C0016,P003,2024-02-02,3,7.98,23.93,Portugal,Partner
T000342,C0016,P018,2024-02-12,2,6.91,13.81,Portugal,Online
T000343,C0016,P009,2024-07-18,6,7.24,43.45,Portugal,In-Store
T000344,C0016,P008,2024-03-05,3,22.52,67.57,Portugal,Mobile
T000345,C0016,P017,2024-06-15,3,30.49,91.47,Portugal,Partner
T000346,C0016,P015,2024-03-10,6,26.08,156.46,Portugal,Mobile
T000347,C0016,P019,2024-10-15,6,15.92,95.52,Portugal,Partner
T000348,C0016,P017,2024-10-03,6,31.39,188.35,Portugal,Mobile
T000349,C0016,P003,2024-03-20,5,8.09,40.46,Portugal,In-Store
T000350,C0016,P001,2024-03-10,2,4.51,9.02,Portugal,In-Store
T000351,C0016,P010,2024-09-08,5,6.01,30.06,Portugal,Partner
T000352,C0016,P010,2024-11-01,2,6.15,12.3,Portugal,Mobile
T000353,C0017,P018,2024-08-11,4,7.02,28.1,United Kingdom,Partner
T000354,C0017,P008,2024-07-12,3,22.47,67.42,United Kingdom,Mobile
T000355,C0017,P009,2024-11-09,2,7.44,14.88,United Kingdom,In-Store
T000356,C0017,P010,2024-02-05,6,6.17,37.05,United Kingdom,Mobile
T000357,C0017,P005,2024-08-19,4,9.6,38.4,United Kingdom,In-Store
T000358,C0017,P020,2024-01-26,-5,13.08,-65.39,United Kingdom,Online
T000359,C0017,P006,2024-08-12,2,12.23,24.46,United Kingdom,Online
T000360,C0017,P008,2024-06-24,2,21.23,42.46,United Kingdom,Partner
T000361,C0018,P016,2024-06-18,4,10.96,43.84,Netherlands,Online
T000362,C0018,P005,2024-10-05,2,9.76,19.51,Netherlands,Partner
T000363,C0018,P006,2024-07-14,3,12.99,38.98,Netherlands,Online
T000364,C0018,P004,2024-05-06,3,6.67,20.02,Netherlands,Online
T000365,C0018,P007,2024-12-06,5,14.33,71.65,Netherlands,Mobile
T000366,C0018,P016,2024-06-14,5,11.2,56.0,Netherlands,Mobile
T000367,C0018,P002,2024-11-22,6,19.03,114.18,Netherlands,In-Store
T000368,C0018,P007,2024-04-21,4,14.54,58.17,Netherlands,Online
T000369,C0018,P008,2024-05-21,5,21.61,108.07,Netherlands,Online
T000370,C0018,P013,2024-12-19,3,19.01,57.03,Netherlands,Partner
T000371,C0018,P020,2024-03-21,3,13.33,39.98,Netherlands,Partner
T000372,C0018,P003,2024-11-16,6,8.12,48.7,Netherlands,Online
T000373,C0019,P012,2024-03-05,3,9.18,27.54,Portugal,Partner
T000374,C0019,P008,2024-06-26,4,23.06,92.24,Portugal,Partner
T000375,C0019,P007,2024-03-09,2,14.26,28.53,Portugal,In-Store
T000376,C0019,P002,2024-10-04,5,19.38,96.91,Portugal,Partner
